,Products,Products_Category,Price,TimeStamp,Date,Price_Float
0,Tesco British Salted Block Butter 250G ++,Fresh Food,£1.75,2022-08-15 17:44:04.173923,2022-08-15,1.75
1,Tesco Pink Lady Apple Minimum 5 Pack,Fresh Food,£2.80,2022-08-15 17:44:04.173923,2022-08-15,2.8
2,Tesco 2 Boneless Salmon Fillets 260G,Fresh Food,£4.09,2022-08-15 17:44:04.173923,2022-08-15,4.09
3,Tesco Large Free Range Eggs 12 Pack,Fresh Food,£2.30,2022-08-15 17:44:04.173923,2022-08-15,2.3
4,Tesco Blueberries 150G,Fresh Food,£2.00,2022-08-15 17:44:04.173923,2022-08-15,2.0
5,Tesco Brown Onions Minimum 3 Pack 385G,Fresh Food,£0.90,2022-08-15 17:44:04.173923,2022-08-15,0.9
6,T.Ripe & Ready Twin Pack Avocados,Fresh Food,£1.50,2022-08-15 17:44:04.173923,2022-08-15,1.5
7,Tesco Semi Skimmed Milk 1.13L/2 Pints,Fresh Food,£1.15,2022-08-15 17:44:04.173923,2022-08-15,1.15
8,Rosedene Farms Strawberries 227G,Fresh Food,£1.53,2022-08-15 17:44:04.173923,2022-08-15,1.53
9,Tesco Baby Plum Tomatoes 325G,Fresh Food,£1.00,2022-08-15 17:44:04.173923,2022-08-15,1.0
10,Tesco Red Seedless Grapes Punnet 500G,Fresh Food,£2.00,2022-08-15 17:44:04.173923,2022-08-15,2.0
11,Tesco Raspberries 150G,Fresh Food,Out of Stock,2022-08-15 17:44:04.173923,2022-08-15,0.0
12,Tesco Finest Strawberries 300G,Fresh Food,Out of Stock,2022-08-15 17:44:04.173923,2022-08-15,0.0
13,Tesco Sweet Peppers 500G,Fresh Food,£1.45,2022-08-15 17:44:04.173923,2022-08-15,1.45
14,Tesco Skimmed Milk 2.272L/4 Pints,Fresh Food,£1.45,2022-08-15 17:44:04.173923,2022-08-15,1.45
15,Tesco Closed Cup Mushrooms 300G,Fresh Food,£0.90,2022-08-15 17:44:04.173923,2022-08-15,0.9
16,Tesco Salad Tomatoes 6 Pack,Fresh Food,£0.75,2022-08-15 17:44:04.173923,2022-08-15,0.75
